,gold,debt,stock_t,ceiling,ratio,real10,band_p10,band_p50,band_p90,pctile_20y,model_ratio
1983-05-01,438,1319581000000.0,107526.7582603703,381.7055181723845,1.1474814461607863,,0.27655192271418355,0.6541822039629681,1.4985020951883516,0.8086124401913876,
1983-06-01,413,1319581000000.0,107680.70909186771,381.1597947795374,1.0835350570982414,,0.2765914923927461,0.6555203044378923,1.4971213204344136,0.7761904761904762,
1983-07-01,403,1377211000000.0,107829.90363180106,397.25576025436726,1.01445980227437,,0.2766310677330283,0.6568611419375631,1.4957418179769428,0.7298578199052133,
1983-08-01,416,1377211000000.0,107984.28848997936,396.6878047206039,1.0486836122753966,,0.27663735170336234,0.6616752497064167,1.489369741742306,0.7452830188679245,
1983-09-01,412,1377211000000.0,108138.89438781026,396.1206611913992,1.040087125879375,,0.27664363581644347,0.6665246398692658,1.4830248114730034,0.7417840375586855,
1983-10-01,394,1410702000000.0,108288.72375588516,405.19211386046106,0.9723782534812232,,0.2766499200722749,0.667001615656055,1.4767069115233011,0.7009345794392523,
1983-11-01,382,1410702000000.0,108443.7655271961,404.61281174245784,0.944112467311462,,0.27665620447086,0.6674789327744134,1.4704159267401307,0.6697674418604651,
1983-12-01,388,1410702000000.0,108594.01730249474,404.0529853838516,0.9602700983174244,,0.27666248901220186,0.6701764765799739,1.464151742460998,0.6805555555555556,
1984-01-01,371,1463741000000.0,108749.4961761243,418.64501253918945,0.8861923321378888,,0.2766687736963039,0.672884922216627,1.4579142445118822,0.631336405529954,
1984-02-01,386,1463741000000.0,108905.19765575691,418.046476846713,0.9233423109113688,,0.27667505852316915,0.673683322723498,1.4517033192051618,0.6513761467889908,
1984-03-01,394,1463741000000.0,109051.05568772885,417.4873310777783,0.9437412124168084,,0.27668134349280094,0.6744826705593228,1.4455188533375416,0.6666666666666666,
1984-04-01,381,1512697000000.0,109207.18892349648,430.8336883570858,0.8843319598634023,,0.2766876286052026,0.6765267686520603,1.4393607341879862,0.6181818181818182,
1984-05-01,377,1512697000000.0,109358.49844259478,430.2375825296921,0.8762600370319392,,0.2766939138603773,0.6785770616215459,1.4332288495156742,0.6108597285067874,
1984-06-01,378,1512697000000.0,109515.0718577979,429.62247296986015,0.8798422423924698,,0.2767063913176389,0.6798097425323283,1.4294548946868155,0.6171171171171171,
1984-07-01,348,1572267000000.0,109666.8079570434,445.92316509606496,0.7804035027537324,,0.276718869337569,0.681044662690963,1.4256908773742543,0.5695067264573991,
