,gold,debt,stock_t,ceiling,ratio
1980-12-01,538,930210000000.0,103242.39569552647,280.24112508219997,1.9197753357655645
1981-01-01,557,964531000000.0,103390.21241501339,290.16545039761235,1.919594490787051
1981-02-01,500,964531000000.0,103538.24077025724,289.7506016030857,1.7256219563779336
1981-03-01,499,964531000000.0,103672.12595827976,289.37640927880676,1.7243976495652287
1981-04-01,496,971174000000.0,103820.55794165393,290.9528569983598,1.704743528271304
1981-05-01,480,971174000000.0,103964.40413758223,290.55029169708314,1.6520375773720786
1981-06-01,461,971174000000.0,104113.25458859609,290.13489269594527,1.5889160924988
1981-07-01,409,997855000000.0,104257.50632365902,297.69328757612783,1.3738972864660517
1981-08-01,410,997855000000.0,104406.77642207962,297.26767625224204,1.379228327711287
1981-09-01,444,997855000000.0,104556.26023712427,296.8426734237662,1.4957418179769428
1981-10-01,438,1028729000000.0,104701.12576851598,305.60367253841684,1.4332288495156742
1981-11-01,413,1028729000000.0,104851.03101658219,305.16675175759434,1.3533584429540402
1981-12-01,410,1028729000000.0,104996.3049608753,304.7445199684712,1.3453892461869978
1982-01-01,384,1061299000000.0,105146.63283009037,313.9433751102107,1.2231505119838753
1982-02-01,374,1061299000000.0,105297.17593038682,313.4945310781745,1.1930032677563285
1982-03-01,330,1061299000000.0,105433.33559557721,313.08967515523983,1.054011122648409
1982-04-01,350,1079630000000.0,105584.289180946,318.04207695397434,1.1004833176543822
1982-05-01,334,1079630000000.0,105730.57907429263,317.60203073532415,1.0516305554681455
1982-06-01,315,1079630000000.0,105881.95823634061,317.1479559327961,0.9932272748645706
1982-07-01,339,1142035000000.0,106028.66055822853,335.01563544811205,1.0118930704429914
1982-08-01,364,1142035000000.0,106180.46649676494,334.53666445993014,1.0880720670412463
1982-09-01,437,1142035000000.0,106332.48978260026,334.05837825533206,1.3081545874774803
1982-10-01,422,1197074000000.0,106479.81632815213,349.6734370371732,1.2068403124230964
1982-11-01,415,1197074000000.0,106632.26820642521,349.17350982794113,1.1885208594560783
1982-12-01,445,1197074000000.0,106780.01010310547,348.69038984544005,1.2762037984392114
1983-01-01,481,1244493000000.0,106932.8917821278,361.9845911804038,1.3287858426003607
1983-02-01,491,1244493000000.0,107085.99234863442,361.4670627459102,1.3583533621848798
1983-03-01,420,1244493000000.0,107224.46513041548,361.00025370527027,1.1634340854034375
1983-04-01,433,1319581000000.0,107377.98315542392,382.2343815096899,1.1328128000673408
1983-05-01,438,1319581000000.0,107526.7582603703,381.7055181723845,1.1474814461607863
1983-06-01,413,1319581000000.0,107680.70909186771,381.1597947795374,1.0835350570982414
1983-07-01,403,1377211000000.0,107829.90363180106,397.25576025436726,1.01445980227437
1983-08-01,416,1377211000000.0,107984.28848997937,396.6878047206039,1.0486836122753966
1983-09-01,412,1377211000000.0,108138.89438781026,396.1206611913992,1.0400871258793747
1983-10-01,394,1410702000000.0,108288.72375588515,405.19211386046106,0.9723782534812231
1983-11-01,382,1410702000000.0,108443.7655271961,404.61281174245784,0.9441124673114621
1983-12-01,388,1410702000000.0,108594.01730249474,404.0529853838516,0.9602700983174244
1984-01-01,371,1463741000000.0,108749.4961761243,418.64501253918945,0.8861923321378888
1984-02-01,386,1463741000000.0,108905.19765575693,418.046476846713,0.9233423109113688
1984-03-01,394,1463741000000.0,109051.05568772885,417.4873310777783,0.9437412124168084
1984-04-01,381,1512697000000.0,109207.18892349648,430.8336883570858,0.8843319598634023
1984-05-01,377,1512697000000.0,109358.49844259478,430.2375825296921,0.8762600370319392
1984-06-01,378,1512697000000.0,109515.0718577979,429.62247296986015,0.8798422423924698
1984-07-01,348,1572267000000.0,109666.8079570434,445.92316509606496,0.7804035027537324
1984-08-01,348,1572267000000.0,109823.82279266014,445.28562989937603,0.7815208410804537
1984-09-01,340,1572267000000.0,109981.06243338487,444.64900618510995,0.7646480600891212
1984-10-01,341,1662966000000.0,110133.44417519835,469.64865883460357,0.7260746806903801
1984-11-01,342,1662966000000.0,110291.12711459646,468.977203360833,0.7292465338381571
1984-12-01,320,1662966000000.0,110443.93845942662,468.3283217821796,0.6832813330235292
1985-01-01,303,1710731000000.0,110602.06594727021,481.09121165049265,0.6298181980096658
1985-02-01,299,1710731000000.0,110760.41983325534,480.4033967885335,0.6223936008754231
1985-03-01,314,1710731000000.0,110903.64401327336,479.78298991917336,0.654462552023568
1985-04-01,327,1774640000000.0,111062.42968195867,496.99501597935887,0.6579542842207917
1985-05-01,316,1774640000000.0,111216.30968739346,496.30736867317756,0.6367022130757212
1985-06-01,317,1774640000000.0,111375.54301339953,495.5977993108478,0.6396315731038424
1985-07-01,317,1823103000000.0,111529.85684583847,508.4274598106852,0.623491107498474
1985-08-01,330,1823103000000.0,111689.5390912255,507.70056238537956,0.649989431663279
1985-09-01,323,1823103000000.0,111849.44996076945,506.9747042034441,0.6371126553690599
1985-10-01,326,1945942000000.0,112004.42040412394,540.3854738384729,0.6032730629940007
1985-11-01,322,1945942000000.0,112164.78210321699,539.6128861231043,0.5967240743886548
1985-12-01,322,1945942000000.0,112320.18944779842,538.8662723028589,0.5975508517612815
1986-01-01,347,1986816000000.0,112481.00324744414,549.3984185544939,0.6315999250834786
1986-02-01,339,1986816000000.0,112642.04729134319,548.6129450553581,0.6179219849903341
1986-03-01,346,1986816000000.0,112787.7046018079,547.9044503985601,0.6314969694958865
1986-04-01,340,2059349000000.0,112949.18776364643,567.0949481826875,0.5995468679267273
1986-05-01,342,2059349000000.0,113105.68192352298,566.3103099047795,0.6039091890407302
1986-06-01,343,2059349000000.0,113267.62034760385,565.5006575182874,0.6065421771660945
1986-07-01,348,2125304000000.0,113424.55570445303,582.8045186678103,0.5971127348076632
1986-08-01,377,2125304000000.0,113586.95067427664,581.9712845536775,0.6477982849087253
1986-09-01,418,2125304000000.0,113749.57815218515,581.1392417122041,0.7192768445105363
1986-10-01,424,2214835000000.0,113907.18127463068,604.7824922031533,0.7010784959323418
1986-11-01,398,2214835000000.0,114070.2672409005,603.9178362370573,0.659030047000917
1986-12-01,391,2214835000000.0,114228.31468676716,603.0822494406284,0.6483361106427205
1987-01-01,408,2246724000000.0,114391.86043399402,610.8907353783035,0.6678772100666083
1987-02-01,401,2246724000000.0,114555.64033692484,610.017346472726,0.6573583559855848
1987-03-01,409,2246724000000.0,114703.77211250314,609.2295523923541,0.6713397247292382
1987-04-01,438,2309296000000.0,114867.99859322571,625.3015232258201,0.7004620710668277
1987-05-01,460,2309296000000.0,115027.15131749464,624.4363497448546,0.7366643536814544
1987-06-01,450,2309296000000.0,115191.84079457556,623.5435947094247,0.7216816976681524
1987-07-01,451,2350277000000.0,115351.44221098858,633.7310108185073,0.7116584044348758
1987-08-01,461,2350277000000.0,115516.59598973273,632.8249672301616,0.7284794751663646
1987-09-01,460,2350277000000.0,115681.9862264709,631.9202190099925,0.727939993312235
1987-10-01,465,2431715000000.0,115842.26675265974,652.9118700206426,0.7121941281069043
1987-11-01,468,2431715000000.0,116008.12326668142,651.9784036074668,0.7178151874517706
1987-12-01,486,2431715000000.0,116168.85566457579,651.0763197263124,0.7464562682978485
1988-01-01,477,2487551000000.0,116335.17977043564,665.0738400413064,0.7172135953661544
1988-02-01,442,2487551000000.0,116501.7420098988,664.1229856910237,0.6655393797883633
1988-03-01,444,2487551000000.0,116657.77418445649,663.234707525633,0.6694462683601945
1988-04-01,452,2547656000000.0,116824.7982966579,678.2888596292664,0.6663827565250747
1988-05-01,451,2547656000000.0,116986.66221993319,677.350372336355,0.6658297070752105
1988-06-01,451,2547656000000.0,117154.15721573,676.3819662595777,0.6667830050142378
1988-07-01,438,2602183000000.0,117316.47747471128,689.9025629909881,0.6348722609481324
1988-08-01,431,2602183000000.0,117484.4446816445,688.9162110796719,0.6256203484086044
1988-09-01,413,2602183000000.0,117652.65237468175,687.9312693531341,0.6003506722239075
1988-10-01,407,2684392000000.0,117815.66331221191,708.6827155687679,0.5743049619509257
1988-11-01,420,2684392000000.0,117984.34522566097,707.6695137218468,0.5934973767501919
1988-12-01,419,2684392000000.0,118147.81573262301,706.6903750602274,0.5929046365804698
1989-01-01,404,2740898000000.0,118316.97320343225,720.5344673954758,0.5606948984138725
1989-02-01,388,2740898000000.0,118486.37286449909,719.504321129598,0.5392601386894422
1989-03-01,390,2740898000000.0,118639.58746609032,718.5751323970718,0.5427407412486033
1989-04-01,384,2799923000000.0,118809.44902831363,733.0001165694702,0.5238744050917301
1989-05-01,371,2799923000000.0,118974.06273894949,731.9859302308076,0.5068403430691862
1989-06-01,368,2799923000000.0,119144.4031842639,730.9394118381094,0.5034617015308865
1989-07-01,375,2857431000000.0,119309.48098295805,744.9201689350432,0.5034096479574577
1989-08-01,365,2857431000000.0,119480.30166145718,743.855158494697,0.4906869245064221
1989-09-01,362,2857431000000.0,119651.36691150222,742.7916706970248,0.4873506452492992
1989-10-01,367,2952994000000.0,119817.14712217606,766.5712503257888,0.47875523618192944
1989-11-01,394,2952994000000.0,119988.69464881533,765.4752853903335,0.5147128947462887
1989-12-01,409,2952994000000.0,120154.94223620874,764.4161660812397,0.5350488623189751
1990-01-01,410,3051958000000.0,120326.97339910305,788.9046160921283,0.5197079490179078
1990-02-01,417,3051958000000.0,120499.25086664748,787.7767212013554,0.5293378044531161
1990-03-01,393,3051958000000.0,120655.06831862305,786.7593635127491,0.49951741056543725
1990-04-01,374,3143754000000.0,120827.81553422356,809.2646471854653,0.4621479528368519
1990-05-01,369,3143754000000.0,120995.2257463387,808.1449404746679,0.45660126237165577
1990-06-01,352,3143754000000.0,121168.45998042359,806.9895377418502,0.43618905021368704
1990-07-01,363,3233313000000.0,121336.34216464832,828.8306206564346,0.4379664444739067
1990-08-01,395,3233313000000.0,121510.06479024696,827.6456436601212,0.4772573903164404
1990-09-01,389,3233313000000.0,121684.03614223795,826.4623608223569,0.47068084215345557
1990-10-01,381,3364820000000.0,121852.63267120383,858.8866601384967,0.4435975288503878
1990-11-01,382,3364820000000.0,122027.09449283202,857.6587121002132,0.44539861207095766
1990-12-01,377,3364820000000.0,122196.16633843744,856.4720468741313,0.4401778217700602
1991-01-01,384,3465189000000.0,122371.12001246194,880.7586753555116,0.43598775776463544
1991-02-01,364,3465189000000.0,122546.32417542546,879.4994569535984,0.4138717734526177
1991-03-01,363,3465189000000.0,122704.78869569968,878.3636458657915,0.4132684699651882
1991-04-01,358,3537988000000.0,122880.47058692414,895.5347179554986,0.39976116260161554
1991-05-01,357,3537988000000.0,123050.72480822916,894.2956471065074,0.39919684408067185
1991-06-01,367,3537988000000.0,123226.90199153748,893.0170749310669,0.41096638608878694
1991-07-01,368,3665303000000.0,123397.63620293976,923.8723708348642,0.3983234174082444
1991-08-01,356,3665303000000.0,123574.31007468671,922.5515128939477,0.38588631098036486
1991-09-01,349,3665303000000.0,123751.23689825606,921.2325433802158,0.37884028577566103
1991-10-01,359,3801698000000.0,123922.69758987785,954.1918286798408,0.37623461992615215
1991-11-01,360,3801698000000.0,124100.12321531304,952.8276230884011,0.37782279950399805
1991-12-01,362,3801698000000.0,124272.0672983798,951.5092811992358,0.3804482070251095
1992-01-01,354,3881288000000.0,124449.99313193055,970.0406412746272,0.3649331635578137
1992-02-01,354,3881288000000.0,124628.17370979299,968.6537766767808,0.3654556545626542
1992-03-01,344,3881288000000.0,124795.08971138755,967.3581823091956,0.3556076810957781
1992-04-01,339,3984656000000.0,124973.7643793371,991.7013858593305,0.3418367714654843
1992-05-01,337,3984656000000.0,125146.91891590692,990.3292578407453,0.34029086521666
1992-06-01,341,3984656000000.0,125326.09731334163,988.9133866602285,0.3448229183666223
1992-07-01,353,4064621000000.0,125499.74001673759,1007.3634003868873,0.35041971930330906
